calendar_dt,fed_actual,fed_forecast,fed_previous
"Dec 10, 2025",,,
"Oct 29, 2025",,,
"Sep 17, 2025",,,
"Jul 30, 2025",,,
"Jun 18, 2025",,,
"May 07, 2025",,,
"Mar 19, 2025",,,0.045
"Jan 29, 2025",0.045,0.045,0.045
"Dec 18, 2024",0.045,0.045,0.0475
"Nov 07, 2024",0.0475,0.0475,0.05
"Sep 18, 2024",0.05,0.0525,0.055
"Jul 31, 2024",0.055,0.055,0.055
"Jun 12, 2024",0.055,0.055,0.055
"May 01, 2024",0.055,0.055,0.055
"Mar 20, 2024",0.055,0.055,0.055
"Jan 31, 2024",0.055,0.055,0.055
"Dec 13, 2023",0.055,0.055,0.055
"Nov 01, 2023",0.055,0.055,0.055
"Sep 20, 2023",0.055,0.055,0.055
"Jul 26, 2023",0.055,0.055,0.0525
"Jun 14, 2023",0.0525,0.0525,0.0525
"May 03, 2023",0.0525,0.0525,0.05
"Mar 22, 2023",0.05,0.05,0.0475
"Feb 01, 2023",0.0475,0.0475,0.045
"Dec 14, 2022",0.045,0.045,0.04
"Nov 02, 2022",0.04,0.04,0.0325
"Sep 21, 2022",0.0325,0.0325,0.025
"Jul 27, 2022",0.025,0.025,0.0175
"Jun 15, 2022",0.0175,0.015,0.01
"May 04, 2022",0.01,0.01,0.005
"Mar 16, 2022",0.005,0.005,0.0025
"Jan 26, 2022",0.0025,0.0025,0.0025
"Dec 15, 2021",0.0025,0.0025,0.0025
"Nov 03, 2021",0.0025,0.0025,0.0025
"Sep 22, 2021",0.0025,0.0025,0.0025
"Jul 28, 2021",0.0025,0.0025,0.0025
"Jun 16, 2021",0.0025,0.0025,0.0025
"Apr 28, 2021",0.0025,0.0025,0.0025
"Mar 17, 2021",0.0025,0.0025,0.0025
"Jan 27, 2021",0.0025,0.0025,0.0025
"Dec 16, 2020",0.0025,0.0025,0.0025
"Nov 05, 2020",0.0025,0.0025,0.0025
"Sep 16, 2020",0.0025,0.0025,0.0025
"Jul 29, 2020",0.0025,0.0025,0.0025
"Jun 10, 2020",0.0025,0.0025,0.0025
"Apr 29, 2020",0.0025,0.0025,0.0025
"Mar 15, 2020",0.0025,,0.0125
"Mar 03, 2020",0.0125,,0.0175
"Jan 29, 2020",0.0175,0.0175,0.0175
"Dec 11, 2019",0.0175,0.0175,0.0175
"Oct 30, 2019",0.0175,0.0175,0.02
"Sep 18, 2019",0.02,0.02,0.0225
"Jul 31, 2019",0.0225,0.0225,0.025
"Jun 19, 2019",0.025,0.025,0.025
"May 01, 2019",0.025,0.025,0.025
"Mar 20, 2019",0.025,0.025,0.025
"Jan 30, 2019",0.025,0.025,0.025
"Dec 19, 2018",0.025,0.025,0.0225
"Nov 08, 2018",0.0225,0.0225,0.0225
"Sep 26, 2018",0.0225,0.0225,0.02
"Aug 01, 2018",0.02,0.02,0.02
"Jun 13, 2018",0.02,0.02,0.0175
"May 02, 2018",0.0175,0.0175,0.0175
"Mar 21, 2018",0.0175,0.0175,0.015
"Jan 31, 2018",0.015,0.015,0.015
"Dec 13, 2017",0.015,0.015,0.0125
"Nov 01, 2017",0.0125,0.0125,0.0125
"Sep 20, 2017",0.0125,0.0125,0.0125
"Jul 26, 2017",0.0125,0.0125,0.0125
"Jun 14, 2017",0.0125,0.0125,0.01
"May 03, 2017",0.01,0.01,0.01
"Mar 15, 2017",0.01,0.01,0.0075
"Feb 01, 2017",0.0075,0.0075,0.0075
"Dec 14, 2016",0.0075,0.0075,0.005
"Nov 02, 2016",0.005,0.005,0.005
"Sep 21, 2016",0.005,0.005,0.005
"Jul 27, 2016",0.005,0.005,0.005
"Jun 15, 2016",0.005,0.005,0.005
"Apr 27, 2016",0.005,0.005,0.005
"Mar 16, 2016",0.005,0.005,0.005
"Jan 27, 2016",0.005,0.005,0.005
"Dec 16, 2015",0.005,0.005,0.0025
"Oct 28, 2015",0.0025,0.0025,0.0025
"Sep 17, 2015",0.0025,0.0025,0.0025
"Jul 29, 2015",0.0025,0.0025,0.0025
"Jun 17, 2015",0.0025,0.0025,0.0025
"Apr 29, 2015",0.0025,0.0025,0.0025
"Mar 18, 2015",0.0025,0.0025,0.0025
"Jan 28, 2015",0.0025,0.0025,0.0025
"Dec 17, 2014",0.0025,0.0025,0.0025
