"user_id","order_id","broker_id","trading_env","trading_type","asset_id","order_side","order_type","order_creation_tmstmp","order_status","fill_pct","order_volume","order_price"
"thomasbouamoud","558cbef3-c8f2-4e84-9d56-e9d6496227f7","kraken","paper_trading","spot","1INCH/EUR","buy","limit","2023-10-01 01:35:46.646+01","open","0","34","3"
"thomasbouamoud","8898c4a0-b0ee-40b4-82ee-0a315bda4812","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-01 01:51:15.161+01","executed","1","45","1"
"thomasbouamoud","f4ac2649-e0b8-4303-ac62-384337cf1cb3","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-01 01:58:09.761+01","executed","1","4565","1"
"thomasbouamoud","9d4bd2a2-2802-47ff-b6ef-8c9bfc079abf","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-01 01:59:32.986+01","executed","1","4565657","1"
"thomasbouamoud","ae9482d3-fce6-4604-bbe5-aa84174fc5ff","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-01 02:03:21.415+01","executed","1","123","1"
"thomasbouamoud","1cc56ee3-d69d-4829-9c95-9c533085b6a3","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-01 02:12:32.306+01","executed","1","54","1"
"thomasbouamoud","d4fbd3d5-a589-4c16-a997-5bd24f353913","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-01 02:21:55.258+01","executed","1","890","1"
"thomasbouamoud","eeae55b7-171b-4171-8a5c-206f428259da","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-01 02:22:32.683+01","executed","1","6768","1"
"thomasbouamoud","1ac502a2-0adc-40e8-a166-e511247653ff","kraken","paper_trading","spot","1INCH/EUR","sell","market","2023-10-01 02:29:35.193+01","executed","1","676856","1"
"thomasbouamoud","7b0cc3e9-4af9-4c84-af03-bb5e4d70d4d5","kraken","paper_trading","spot","1INCH/EUR","sell","limit","2023-10-01 02:41:47.092+01","open","0","56","0.23"
"thomasbouamoud","56ce26e3-c3a6-4a83-b86e-eaa545cff30f","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-01 03:23:32.389+01","executed","1","345","1"
"thomasbouamoud","3c777e7a-7fef-4707-84bf-2e754b6a86ff","kraken","paper_trading","spot","BTC/EUR","buy","limit","2023-10-04 01:19:01.5+01","open","0","1000","26100"
"thomasbouamoud","a0c5d55f-201c-4790-be93-082d4d96d450","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-05 00:49:56.342+01","executed","1","23","1"
"thomasbouamoud","e44a482a-50ac-4d8a-b227-78d0c5b82229","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-05 00:50:27.688+01","executed","1","54","1"
"thomasbouamoud","e5223770-c8d8-4626-8d31-2b0c21c6643a","kraken","paper_trading","spot","1INCH/EUR","buy","market","2023-10-05 00:50:34.76+01","executed","1","100","1"
"thomasbouamoud","b299129f-ca03-440d-bf34-f08820a9a67e","kraken","paper_trading","spot","1INCH/EUR","buy","limit","2023-10-05 00:51:41.041+01","open","0","6765","45"
"thomasbouamoud","6dac38da-168a-4a38-8d88-7ffb72f16945","kraken","paper_trading","spot","AAVE/EUR","sell","market","2023-10-05 01:00:37.438+01","executed","1","65567","1"
